file,attack_type,feature_group,model,accuracy,f1_score,precision,recall
02-14-2018.csv,FTP-BruteForce,flags_and_protocol,LogisticRegression,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,flags_and_protocol,LogisticRegression,0.5044566761363637,0.6706164213806045,1.0,0.5044566761363637
02-14-2018.csv,Benign,flags_and_protocol,DecisionTree,0.9999849354483964,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,flags_and_protocol,DecisionTree,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,flags_and_protocol,DecisionTree,1.0,1.0,1.0,1.0
02-14-2018.csv,Benign,flags_and_protocol,RandomForest,0.9999949784827988,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,flags_and_protocol,RandomForest,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,flags_and_protocol,RandomForest,1.0,1.0,1.0,1.0
02-14-2018.csv,Benign,flags_and_protocol,ExtraTrees,0.9999949784827988,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,flags_and_protocol,ExtraTrees,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,flags_and_protocol,ExtraTrees,1.0,1.0,1.0,1.0
02-14-2018.csv,Benign,flags_and_protocol,XGBoost,0.9999799139311951,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,flags_and_protocol,XGBoost,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,flags_and_protocol,XGBoost,1.0,1.0,1.0,1.0
02-14-2018.csv,Benign,flags_and_protocol,LightGBM,1.0,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,flags_and_protocol,LightGBM,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,flags_and_protocol,LightGBM,1.0,1.0,1.0,1.0
02-14-2018.csv,Benign,flags_and_protocol,CatBoost,0.9999598278623903,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,flags_and_protocol,CatBoost,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,flags_and_protocol,CatBoost,1.0,1.0,1.0,1.0
02-14-2018.csv,Benign,flags_and_protocol,KNN,1.0,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,flags_and_protocol,KNN,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,flags_and_protocol,KNN,1.0,1.0,1.0,1.0
02-14-2018.csv,Benign,flags_and_protocol,LinearSVC,0.9978809197410906,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,flags_and_protocol,LinearSVC,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,flags_and_protocol,LinearSVC,0.5044566761363637,0.6706164213806045,1.0,0.5044566761363637
02-14-2018.csv,Benign,flags_and_protocol,MLP,0.9981119095323461,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,flags_and_protocol,MLP,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,flags_and_protocol,MLP,1.0,1.0,1.0,1.0
02-14-2018.csv,Benign,rates_and_ratios,LogisticRegression,0.5413747909793465,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,rates_and_ratios,LogisticRegression,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,rates_and_ratios,LogisticRegression,0.9404474431818182,0.9693098841571656,1.0,0.9404474431818182
02-14-2018.csv,Benign,rates_and_ratios,DecisionTree,0.9773630004569581,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,rates_and_ratios,DecisionTree,0.9709642358056001,0.9852682440061973,1.0,0.9709642358056001
02-14-2018.csv,SSH-Bruteforce,rates_and_ratios,DecisionTree,0.9527876420454545,0.9758230967167056,1.0,0.9527876420454545
02-14-2018.csv,Benign,rates_and_ratios,RandomForest,0.9771872473549158,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,rates_and_ratios,RandomForest,0.9709642358056001,0.9852682440061973,1.0,0.9709642358056001
02-14-2018.csv,SSH-Bruteforce,rates_and_ratios,RandomForest,0.9578657670454546,0.9784795088285706,1.0,0.9578657670454546
02-14-2018.csv,Benign,rates_and_ratios,ExtraTrees,0.9841621347473926,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,rates_and_ratios,ExtraTrees,0.9709642358056001,0.9852682440061973,1.0,0.9709642358056001
02-14-2018.csv,SSH-Bruteforce,rates_and_ratios,ExtraTrees,0.9398970170454546,0.9690174362729395,1.0,0.9398970170454546
02-14-2018.csv,Benign,rates_and_ratios,XGBoost,0.9770064727356723,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,rates_and_ratios,XGBoost,0.9676690302434312,0.9835688983972223,1.0,0.9676690302434312
02-14-2018.csv,SSH-Bruteforce,rates_and_ratios,XGBoost,0.9553089488636364,0.977143739273358,1.0,0.9553089488636364
02-14-2018.csv,Benign,rates_and_ratios,LightGBM,0.9764340197747348,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,rates_and_ratios,LightGBM,0.9709642358056001,0.9852682440061973,1.0,0.9709642358056001
02-14-2018.csv,SSH-Bruteforce,rates_and_ratios,LightGBM,0.9575816761363637,0.9783312623014757,1.0,0.9575816761363637
02-14-2018.csv,Benign,rates_and_ratios,CatBoost,0.9768307196336301,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,rates_and_ratios,CatBoost,0.9709642358056001,0.9852682440061973,1.0,0.9709642358056001
02-14-2018.csv,SSH-Bruteforce,rates_and_ratios,CatBoost,0.9545454545454546,0.9767441860465116,1.0,0.9545454545454546
02-14-2018.csv,Benign,rates_and_ratios,KNN,0.97566572764295,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,rates_and_ratios,KNN,0.9708952262650311,0.9852327138717951,1.0,0.9708952262650311
02-14-2018.csv,SSH-Bruteforce,rates_and_ratios,KNN,0.9516512784090909,0.9752267620113358,1.0,0.9516512784090909
02-14-2018.csv,Benign,rates_and_ratios,LinearSVC,0.22245321201347776,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,rates_and_ratios,LinearSVC,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,rates_and_ratios,LinearSVC,0.9999822443181818,0.9999911220802742,1.0,0.9999822443181818
02-14-2018.csv,Benign,rates_and_ratios,MLP,0.7640439282324761,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,rates_and_ratios,MLP,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,rates_and_ratios,MLP,0.9836825284090909,0.9917741516814207,1.0,0.9836825284090909
02-14-2018.csv,Benign,connection_activity,LogisticRegression,1.0,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,connection_activity,LogisticRegression,0.0,0.0,0.0,0.0
02-14-2018.csv,SSH-Bruteforce,connection_activity,LogisticRegression,0.0,0.0,0.0,0.0
02-14-2018.csv,Benign,connection_activity,DecisionTree,0.9501212696404091,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,connection_activity,DecisionTree,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,connection_activity,DecisionTree,0.9981001420454545,0.9990491677996677,1.0,0.9981001420454545
02-14-2018.csv,Benign,connection_activity,RandomForest,0.9501212696404091,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,connection_activity,RandomForest,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,connection_activity,RandomForest,0.9981001420454545,0.9990491677996677,1.0,0.9981001420454545
02-14-2018.csv,Benign,connection_activity,ExtraTrees,0.9501212696404091,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,connection_activity,ExtraTrees,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,connection_activity,ExtraTrees,0.9981001420454545,0.9990491677996677,1.0,0.9981001420454545
02-14-2018.csv,Benign,connection_activity,XGBoost,0.9501162481232079,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,connection_activity,XGBoost,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,connection_activity,XGBoost,0.9981001420454545,0.9990491677996677,1.0,0.9981001420454545
02-14-2018.csv,Benign,connection_activity,LightGBM,0.9501212696404091,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,connection_activity,LightGBM,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,connection_activity,LightGBM,0.9981001420454545,0.9990491677996677,1.0,0.9981001420454545
02-14-2018.csv,Benign,connection_activity,CatBoost,0.9501212696404091,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,connection_activity,CatBoost,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,connection_activity,CatBoost,0.9980113636363637,0.9990046921655055,1.0,0.9980113636363637
02-14-2018.csv,Benign,connection_activity,KNN,0.9501212696404091,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,connection_activity,KNN,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,connection_activity,KNN,0.9981001420454545,0.9990491677996677,1.0,0.9981001420454545
02-14-2018.csv,Benign,connection_activity,LinearSVC,0.7674535384120958,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,connection_activity,LinearSVC,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,connection_activity,LinearSVC,0.49563210227272725,0.6627727520953535,1.0,0.49563210227272725
02-14-2018.csv,Benign,connection_activity,MLP,0.9499254304695621,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,connection_activity,MLP,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,connection_activity,MLP,0.9980113636363637,0.9990046921655055,1.0,0.9980113636363637
02-15-2018.csv,Benign,flow_metrics,LogisticRegression,0.9930435604015978,0.0,0.0,0.0
02-15-2018.csv,DoS attacks-GoldenEye,flow_metrics,LogisticRegression,0.023473802275276397,0.045870841487279844,1.0,0.023473802275276397
02-15-2018.csv,DoS attacks-Slowloris,flow_metrics,LogisticRegression,0.018977655341291706,0.037248422949834784,1.0,0.018977655341291706
02-15-2018.csv,Benign,flow_metrics,DecisionTree,0.9991498434632409,0.0,0.0,0.0
02-15-2018.csv,DoS attacks-GoldenEye,flow_metrics,DecisionTree,0.9883832719115526,0.9941577017607478,1.0,0.9883832719115526
02-15-2018.csv,DoS attacks-Slowloris,flow_metrics,DecisionTree,0.982858891949801,0.9913553565915406,1.0,0.982858891949801
02-15-2018.csv,Benign,flow_metrics,RandomForest,0.9994264817013926,0.0,0.0,0.0
02-15-2018.csv,DoS attacks-GoldenEye,flow_metrics,RandomForest,0.9908668482614965,0.9954124748490946,1.0,0.9908668482614965
02-15-2018.csv,DoS attacks-Slowloris,flow_metrics,RandomForest,0.982858891949801,0.9913553565915406,1.0,0.982858891949801
02-15-2018.csv,Benign,flow_metrics,ExtraTrees,0.9994703389830508,0.0,0.0,0.0
02-15-2018.csv,DoS attacks-GoldenEye,flow_metrics,ExtraTrees,0.991748117288896,0.9958569647238646,1.0,0.991748117288896
02-15-2018.csv,DoS attacks-Slowloris,flow_metrics,ExtraTrees,0.9834710743801653,0.9916666666666667,1.0,0.9834710743801653
02-15-2018.csv,Benign,flow_metrics,XGBoost,0.9988259743063802,0.0,0.0,0.0
02-15-2018.csv,DoS attacks-GoldenEye,flow_metrics,XGBoost,0.9880628104470437,0.9939955671972597,1.0,0.9880628104470437
02-15-2018.csv,DoS attacks-Slowloris,flow_metrics,XGBoost,0.9733700642791552,0.9865053513261982,1.0,0.9733700642791552
02-15-2018.csv,Benign,flow_metrics,LightGBM,0.9988057324840764,0.0,0.0,0.0
02-15-2018.csv,DoS attacks-GoldenEye,flow_metrics,LightGBM,0.9890241948405705,0.9944818141539453,1.0,0.9890241948405705
02-15-2018.csv,DoS attacks-Slowloris,flow_metrics,LightGBM,0.9846954392408938,0.9922887106724244,1.0,0.9846954392408938
02-15-2018.csv,Benign,flow_metrics,CatBoost,0.9984312587714563,0.0,0.0,0.0
02-15-2018.csv,DoS attacks-GoldenEye,flow_metrics,CatBoost,0.9864605031244993,0.9931841096995362,1.0,0.9864605031244993
02-15-2018.csv,DoS attacks-Slowloris,flow_metrics,CatBoost,0.9724517906336089,0.9860335195530726,1.0,0.9724517906336089
02-15-2018.csv,Benign,flow_metrics,KNN,0.9985662042534816,0.0,0.0,0.0
02-15-2018.csv,DoS attacks-GoldenEye,flow_metrics,KNN,0.9875020028841531,0.9937117059013222,1.0,0.9875020028841531
02-15-2018.csv,DoS attacks-Slowloris,flow_metrics,KNN,0.9736761554943373,0.9866625310173698,1.0,0.9736761554943373
02-15-2018.csv,Benign,flow_metrics,LinearSVC,0.9859488016841196,0.0,0.0,0.0
02-15-2018.csv,DoS attacks-GoldenEye,flow_metrics,LinearSVC,0.023473802275276397,0.045870841487279844,1.0,0.023473802275276397
02-15-2018.csv,DoS attacks-Slowloris,flow_metrics,LinearSVC,0.018977655341291706,0.037248422949834784,1.0,0.018977655341291706
02-15-2018.csv,Benign,flow_metrics,MLP,1.0,0.0,0.0,0.0
02-15-2018.csv,DoS attacks-GoldenEye,flow_metrics,MLP,0.0,0.0,0.0,0.0
02-15-2018.csv,DoS attacks-Slowloris,flow_metrics,MLP,0.0,0.0,0.0,0.0
02-15-2018.csv,Benign,packet_size_stats,LogisticRegression,1.0,0.0,0.0,0.0
02-15-2018.csv,DoS attacks-GoldenEye,packet_size_stats,LogisticRegression,0.0,0.0,0.0,0.0
02-15-2018.csv,DoS attacks-Slowloris,packet_size_stats,LogisticRegression,0.0,0.0,0.0,0.0
02-15-2018.csv,Benign,packet_size_stats,DecisionTree,0.9999797581776962,0.0,0.0,0.0
02-15-2018.csv,DoS attacks-GoldenEye,packet_size_stats,DecisionTree,0.6663996154462426,0.7998076923076923,1.0,0.6663996154462426
02-15-2018.csv,DoS attacks-Slowloris,packet_size_stats,DecisionTree,0.7897153351698806,0.8825038481272447,1.0,0.7897153351698806
02-15-2018.csv,Benign,packet_size_stats,RandomForest,1.0,0.0,0.0,0.0
02-15-2018.csv,DoS attacks-GoldenEye,packet_size_stats,RandomForest,0.6666399615446242,0.7999807720040378,1.0,0.6666399615446242
02-15-2018.csv,DoS attacks-Slowloris,packet_size_stats,RandomForest,0.7900214263850628,0.8826949384404925,1.0,0.7900214263850628
02-15-2018.csv,Benign,packet_size_stats,ExtraTrees,0.9999932527258988,0.0,0.0,0.0
02-15-2018.csv,DoS attacks-GoldenEye,packet_size_stats,ExtraTrees,0.6666399615446242,0.7999807720040378,1.0,0.6666399615446242
02-15-2018.csv,DoS attacks-Slowloris,packet_size_stats,ExtraTrees,0.7900214263850628,0.8826949384404925,1.0,0.7900214263850628
02-15-2018.csv,Benign,packet_size_stats,XGBoost,1.0,0.0,0.0,0.0
02-15-2018.csv,DoS attacks-GoldenEye,packet_size_stats,XGBoost,0.6666399615446242,0.7999807720040378,1.0,0.6666399615446242
02-15-2018.csv,DoS attacks-Slowloris,packet_size_stats,XGBoost,0.7900214263850628,0.8826949384404925,1.0,0.7900214263850628
02-15-2018.csv,Benign,packet_size_stats,LightGBM,1.0,0.0,0.0,0.0
02-15-2018.csv,DoS attacks-GoldenEye,packet_size_stats,LightGBM,0.6666399615446242,0.7999807720040378,1.0,0.6666399615446242
02-15-2018.csv,DoS attacks-Slowloris,packet_size_stats,LightGBM,0.7900214263850628,0.8826949384404925,1.0,0.7900214263850628
02-15-2018.csv,Benign,packet_size_stats,CatBoost,0.9999865054517975,0.0,0.0,0.0
02-15-2018.csv,DoS attacks-GoldenEye,packet_size_stats,CatBoost,0.6666399615446242,0.7999807720040378,1.0,0.6666399615446242
02-15-2018.csv,DoS attacks-Slowloris,packet_size_stats,CatBoost,0.7900214263850628,0.8826949384404925,1.0,0.7900214263850628
02-15-2018.csv,Benign,packet_size_stats,KNN,0.9995850426427724,0.0,0.0,0.0
02-15-2018.csv,DoS attacks-GoldenEye,packet_size_stats,KNN,0.660791539817337,0.7957549445248432,1.0,0.660791539817337
02-15-2018.csv,DoS attacks-Slowloris,packet_size_stats,KNN,0.7900214263850628,0.8826949384404925,1.0,0.7900214263850628
02-15-2018.csv,Benign,packet_size_stats,LinearSVC,0.9985425887941272,0.0,0.0,0.0
02-15-2018.csv,DoS attacks-GoldenEye,packet_size_stats,LinearSVC,0.5756289056240987,0.7306655819392892,1.0,0.5756289056240987
02-15-2018.csv,DoS attacks-Slowloris,packet_size_stats,LinearSVC,0.09427609427609428,0.1723076923076923,1.0,0.09427609427609428
02-15-2018.csv,Benign,packet_size_stats,MLP,0.9950744899060779,0.0,0.0,0.0
02-15-2018.csv,DoS attacks-GoldenEye,packet_size_stats,MLP,0.6660791539817337,0.799576841700327,1.0,0.6660791539817337
02-15-2018.csv,DoS attacks-Slowloris,packet_size_stats,MLP,0.78818487909397,0.8815474152687436,1.0,0.78818487909397
02-15-2018.csv,Benign,timing_iat,LogisticRegression,0.9561123556083342,0.0,0.0,0.0
02-15-2018.csv,DoS attacks-GoldenEye,timing_iat,LogisticRegression,0.326630347700689,0.49242103991786945,1.0,0.326630347700689
02-15-2018.csv,DoS attacks-Slowloris,timing_iat,LogisticRegression,0.657483930211203,0.7933518005540167,1.0,0.657483930211203
02-15-2018.csv,Benign,timing_iat,DecisionTree,0.9990553816258232,0.0,0.0,0.0
02-15-2018.csv,DoS attacks-GoldenEye,timing_iat,DecisionTree,0.9886236180099343,0.9942792683909435,1.0,0.9886236180099343
02-15-2018.csv,DoS attacks-Slowloris,timing_iat,DecisionTree,0.9041934496479951,0.9496865455714515,1.0,0.9041934496479951
02-15-2018.csv,Benign,timing_iat,RandomForest,0.9991633380114434,0.0,0.0,0.0
