meta_model,base_combo,include_meta,accuracy,f1,precision,recall,leave_out,sampling
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9996442833652136,0.0,0.0,0.0,02-22-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.999881108186756,0.7933333333333333,1.0,0.6574585635359116,02-22-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.999881108186756,0.7933333333333333,1.0,0.6574585635359116,02-22-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.999881108186756,0.7933333333333333,1.0,0.6574585635359116,02-22-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9996442833652136,0.0,0.0,0.0,02-22-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9998820669917016,0.7953410981697171,1.0,0.6602209944751382,02-22-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9998801493818105,0.7913188647746243,1.0,0.6546961325966851,02-22-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.999881108186756,0.7933333333333333,1.0,0.6574585635359116,02-22-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9996442833652136,0.0,0.0,0.0,02-22-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.999881108186756,0.7933333333333333,1.0,0.6574585635359116,02-22-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9998638369034594,0.8565656565656565,1.0,0.7491166077738516,02-23-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9998638369034594,0.8565656565656565,1.0,0.7491166077738516,02-23-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9994572654039298,0.0,0.0,0.0,02-23-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9998638369034594,0.8565656565656565,1.0,0.7491166077738516,02-23-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9998638369034594,0.8565656565656565,1.0,0.7491166077738516,02-23-2018.csv,smote
